,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.27828747034072876,0.1591862440109253,2.596635896960066,0.0507500022649765,0.5274635553359985,0.099166639149189,0.4848484992980957,0.379228800535202,1.7854309108522204,0.04013869911432266,0.6485845446586609,0.27272728085517883
1,0.6472060084342957,0.5975514054298401,1.1888716157887225,0.030843017622828484,0.8222432732582092,0.47928106784820557,0.5634118914604187,0.5326679944992065,1.5167948908276028,0.03426491469144821,0.7038409113883972,0.43313127756118774
2,0.8028913140296936,0.7850596308708191,0.628537594621666,0.019173847511410713,0.8891761898994446,0.7086110711097717,0.6386082768440247,0.6290567517280579,1.4418354630470276,0.026959629729390144,0.7083984613418579,0.568484902381897
3,0.925215482711792,0.9199427962303162,0.2661542093709074,0.009316123090684414,0.9513720273971558,0.891846239566803,0.6318743228912354,0.6311133503913879,1.391933008035024,0.026999741792678833,0.7091636061668396,0.5712122321128845
4,0.9605226516723633,0.9615350365638733,0.13045714035617798,0.005116223357617855,0.9737444519996643,0.9502770900726318,0.6576879620552063,0.6647018194198608,1.499903251727422,0.023033620789647102,0.7092939019203186,0.6278788447380066
5,0.9905476570129395,0.9901708960533142,0.04623384236117055,0.0020348597317934036,0.9926897883415222,0.9877773523330688,0.6487092971801758,0.656355082988739,1.6108416239420573,0.02380189299583435,0.688273549079895,0.6287879347801208
6,0.9972199201583862,0.9969373345375061,0.02266787993430383,0.0011344152735546231,0.9972221255302429,0.9966666102409363,0.6700336933135986,0.6734102368354797,1.6761733545197381,0.021497011184692383,0.6986232399940491,0.6510101556777954
7,0.9997220039367676,0.9997221827507019,0.0046901059244268215,0.0002688125241547823,0.9997221827507019,0.9997221827507019,0.6902356743812561,0.6981385350227356,1.6264522327317132,0.01990205980837345,0.718291699886322,0.6798989772796631
8,1.0,1.0,0.0014227567573335857,8.5567677160725e-05,1.0,1.0,0.6913580298423767,0.693026602268219,1.6716681387689378,0.019745565950870514,0.7123108506202698,0.6754546165466309
9,1.0,1.0,0.0009020470049472907,5.444459748105146e-05,1.0,1.0,0.6891133785247803,0.6971160173416138,1.6929753734005821,0.019685234874486923,0.7139649987220764,0.6819191575050354
10,1.0,1.0,0.0006911327009490806,4.177086884737946e-05,1.0,1.0,0.6924803853034973,0.6947232484817505,1.7285827058884833,0.01962766982614994,0.7112563252449036,0.6798990368843079
11,1.0,1.0,0.0005406673822847713,3.270215529482812e-05,1.0,1.0,0.6947250366210938,0.7015094757080078,1.7330093857314852,0.019515961408615112,0.7150371074676514,0.6890909075737
12,1.0,1.0,0.00044655490358582004,2.702034544199705e-05,1.0,1.0,0.6891133785247803,0.6930975317955017,1.7845950765742196,0.019537104293704033,0.7082540392875671,0.6791919469833374
13,1.0,1.0,0.00037463892203984687,2.2675691070617177e-05,1.0,1.0,0.6891133785247803,0.6944165825843811,1.7844043110807737,0.019551321864128113,0.709607720375061,0.6808081865310669
14,1.0,1.0,0.0003137754739960526,1.8997072402271442e-05,1.0,1.0,0.6902356743812561,0.6975823640823364,1.7988484428988563,0.019503625109791756,0.7141276597976685,0.6826263666152954
15,1.0,1.0,0.0002682725884600172,1.6244568541878834e-05,1.0,1.0,0.6924803853034973,0.6976346373558044,1.8195724457502365,0.01949935592710972,0.7127776145935059,0.6837374567985535
16,1.0,1.0,0.0002313124565987283,1.4007996469445061e-05,1.0,1.0,0.6902356743812561,0.6951969861984253,1.843883803817961,0.01951601542532444,0.7070978879928589,0.6841413378715515
17,1.0,1.0,0.00020016768235886847,1.2123264241381548e-05,1.0,1.0,0.6958473920822144,0.6987858414649963,1.8608791642718845,0.01942286267876625,0.7133584022521973,0.6854544878005981
18,1.0,1.0,0.00017525416921282288,1.0615085557219572e-05,1.0,1.0,0.6936026811599731,0.699438214302063,1.8695081942611271,0.01942499354481697,0.713985800743103,0.6861616373062134
19,1.0,1.0,0.0001528560136874134,9.258803402190097e-06,1.0,1.0,0.6924803853034973,0.6985396146774292,1.8887935082117717,0.019382765516638756,0.7108275890350342,0.6872727274894714
20,1.0,1.0,0.00013458135914834113,8.152262125804555e-06,1.0,1.0,0.6891133785247803,0.6960805058479309,1.9024197631412083,0.019450219348073006,0.7067918181419373,0.6861616373062134
21,1.0,1.0,0.00011768796952027683,7.1291806307272054e-06,1.0,1.0,0.6958473920822144,0.7007841467857361,1.9182180444399515,0.019387025386095047,0.7144775986671448,0.6883838772773743
22,1.0,1.0,0.0001048774621670299,6.353295248118229e-06,1.0,1.0,0.6969696879386902,0.7031126618385315,1.9340276618798573,0.019322501495480537,0.7143663763999939,0.6926262974739075
23,1.0,1.0,9.182817140214618e-05,5.5628324844292365e-06,1.0,1.0,0.6958473920822144,0.7044622898101807,1.9303256165650156,0.019350826740264893,0.7166227698326111,0.6933334469795227
24,1.0,1.0,8.135255440835656e-05,4.928283487970475e-06,1.0,1.0,0.6992143392562866,0.7055569291114807,1.954378721366326,0.019285142421722412,0.7164927124977112,0.6955556273460388
