,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.05087573081254959,0.0,3.447512912458601,0.0585872158408165,0.0,0.0,0.1111111119389534,0.0,3.213210556242201,0.057748887687921524,0.0,0.0
1,0.17959409952163696,0.04331471025943756,2.9191137162188143,0.05525027960538864,0.34768518805503845,0.023382343351840973,0.22671155631542206,0.05562875419855118,2.7067942354414196,0.05382300168275833,0.4444443881511688,0.029999997466802597
2,0.2641089856624603,0.09549359232187271,2.554713703507611,0.0520172119140625,0.5769444108009338,0.05338238179683685,0.2850729525089264,0.09903693944215775,2.570957236819797,0.05186505615711212,0.5537036657333374,0.0555555485188961
3,0.3230469822883606,0.14331266283988953,2.323163902623673,0.04961417615413666,0.6691797971725464,0.0825490653514862,0.2996633052825928,0.13189534842967987,2.3976077212227715,0.050070229917764664,0.6296296119689941,0.07555554062128067
4,0.36280232667922974,0.21215996146202087,2.14838674541046,0.047398630529642105,0.7463822364807129,0.12749996781349182,0.3243546485900879,0.15606598556041718,2.3061244169871014,0.049425844103097916,0.6599999070167542,0.09141413122415543
5,0.40227967500686646,0.26150619983673096,1.999700294622687,0.04548056796193123,0.7667263746261597,0.1623692810535431,0.3468013405799866,0.21620644629001617,2.1713207324345905,0.047164734452962875,0.6655025482177734,0.1345454305410385
6,0.432304710149765,0.29484739899635315,1.8831184992765035,0.04386083409190178,0.754011869430542,0.1893627643585205,0.35129067301750183,0.25043785572052,2.134735671679179,0.045788466930389404,0.6446914076805115,0.16121213138103485
7,0.46983596682548523,0.33978208899497986,1.7855043197162024,0.042304545640945435,0.7626499533653259,0.22477135062217712,0.3905723989009857,0.2667451798915863,2.0686679389741687,0.044587016105651855,0.6508025527000427,0.17565655708312988
8,0.4809563457965851,0.3709602355957031,1.6996895919616335,0.04091598838567734,0.7721098065376282,0.2501470744609833,0.38383838534355164,0.292902410030365,2.058251958423191,0.043971817940473557,0.65516597032547,0.19383838772773743
9,0.513483464717865,0.40049484372138977,1.6187505161626359,0.039750274270772934,0.770685076713562,0.2762581706047058,0.41750842332839966,0.3257100284099579,2.019337018330892,0.043085645884275436,0.6851411461830139,0.2203030288219452
10,0.5195996761322021,0.42711180448532104,1.5640023760839339,0.03859412670135498,0.7776569724082947,0.3018627166748047,0.3815937042236328,0.3394394814968109,2.066486390431722,0.04309611767530441,0.6057695746421814,0.24030305445194244
11,0.544898509979248,0.46903228759765625,1.484168028281336,0.03736080229282379,0.7913464903831482,0.34001633524894714,0.4186307489871979,0.3446767032146454,1.985749285750919,0.04217936098575592,0.6858161687850952,0.23454549908638
12,0.5688073635101318,0.4892053008079529,1.4093354764434076,0.03606516122817993,0.7991763353347778,0.3608006238937378,0.4343434274196625,0.3615413308143616,1.9765689849853516,0.04117441177368164,0.6040741205215454,0.26212120056152344
13,0.5829858183860779,0.5156315565109253,1.3508726219220197,0.034930162131786346,0.7988920211791992,0.3865848481655121,0.4298540949821472,0.35781562328338623,1.9723179671499464,0.04122514650225639,0.6144651770591736,0.25767675042152405
14,0.5938282012939453,0.5250276923179626,1.2918102027709066,0.0341312475502491,0.7942537069320679,0.3991829454898834,0.44668909907341003,0.4041827321052551,1.9425695088174608,0.039889611303806305,0.6361247301101685,0.301919162273407
15,0.6118987798690796,0.5633018016815186,1.2376383129079573,0.03289191424846649,0.8160169124603271,0.43558821082115173,0.4534231126308441,0.393484890460968,1.9593348556094698,0.039840105921030045,0.6178004145622253,0.29636356234550476
16,0.6308034658432007,0.5822940468788147,1.177289446758369,0.031758446246385574,0.8108280897140503,0.46089857816696167,0.4433221220970154,0.4203794598579407,1.9613264322280883,0.03991662338376045,0.6434473395347595,0.31969696283340454
17,0.6474840044975281,0.601304292678833,1.1090337545765019,0.030542105436325073,0.8216343522071838,0.4801143705844879,0.4545454680919647,0.42458343505859375,1.95110701057646,0.038764916360378265,0.6147475242614746,0.329696923494339
18,0.6705588102340698,0.6292979717254639,1.0552306337790056,0.02937549166381359,0.8308085799217224,0.5119280815124512,0.47250279784202576,0.4450637698173523,1.9043963578012255,0.03778018802404404,0.613006055355072,0.3541414141654968
19,0.6844592690467834,0.6647780537605286,0.9846322892737581,0.027932284399867058,0.8475261926651001,0.5522873997688293,0.4657687842845917,0.45811790227890015,1.8681723329755995,0.037342991679906845,0.633391261100769,0.36303025484085083
20,0.6919655203819275,0.6664342880249023,0.9525051266079251,0.027198024094104767,0.83436518907547,0.5622385144233704,0.4534231126308441,0.43748050928115845,1.9487745695643954,0.037515200674533844,0.5919446349143982,0.353939414024353
21,0.7136502861976624,0.6876029372215271,0.9007518699442906,0.026070935651659966,0.847009003162384,0.5855718851089478,0.4579124450683594,0.4503041207790375,1.9574760317802429,0.0366993322968483,0.574098527431488,0.37434348464012146
22,0.7314428687095642,0.7174890041351318,0.8252285134305151,0.02458011917769909,0.8621503114700317,0.6188234686851501,0.47362515330314636,0.47933119535446167,1.9749295870463053,0.0360768660902977,0.6061457991600037,0.40060606598854065
23,0.7364470362663269,0.7165922522544861,0.7990152683561631,0.023951642215251923,0.8513335585594177,0.6233168840408325,0.4612794518470764,0.44751009345054626,2.07672264708413,0.036990970373153687,0.5637396574020386,0.3763636350631714
24,0.7517375349998474,0.732265830039978,0.7701959938581433,0.023230809718370438,0.8648422956466675,0.6403595209121704,0.47923681139945984,0.46588924527168274,2.001658148235745,0.036082152277231216,0.576610803604126,0.39414143562316895
