,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.5874015688896179,0.5859374403953552,0.6723252267349423,0.48243656754493713,0.5859374403953552,0.5859374403953552,0.5923566818237305,0.5900735259056091,0.6173601411283016,0.4398100674152374,0.5900735259056091,0.5900735259056091
1,0.8409448862075806,0.8395833969116211,0.4109552887481029,0.29263272881507874,0.8395833969116211,0.8395833969116211,0.8662420511245728,0.8665440082550049,0.30672325752675533,0.19640754163265228,0.8665440082550049,0.8665440082550049
2,0.9023622274398804,0.9015625715255737,0.2554453869504253,0.16135552525520325,0.9015625715255737,0.9015625715255737,0.9554139971733093,0.9540440440177917,0.19946159608662128,0.15264087915420532,0.9540441036224365,0.9540441036224365
3,0.9291338324546814,0.9291666150093079,0.18574688296149097,0.12522605061531067,0.9291666150093079,0.9291666150093079,0.9617834687232971,0.9602940678596497,0.16722436342388391,0.11590027064085007,0.9602940678596497,0.9602940678596497
4,0.9385826587677002,0.9385417103767395,0.1636735923646942,0.09971915185451508,0.9385417699813843,0.9385417699813843,0.9363057613372803,0.934191107749939,0.16084415093064308,0.11074887216091156,0.934191107749939,0.934191107749939
5,0.9527559280395508,0.9526042342185974,0.14374541805133106,0.0868445485830307,0.9526042938232422,0.9526042938232422,0.9363057613372803,0.934191107749939,0.1557824001647532,0.10550697147846222,0.9341911673545837,0.9341911673545837
6,0.9527559280395508,0.953125,0.13234752236212802,0.0854501947760582,0.953125,0.953125,0.8407643437385559,0.8382352590560913,0.3295610137283802,0.16351546347141266,0.8382353186607361,0.8382353186607361
7,0.960629940032959,0.9604166150093079,0.12518651167473455,0.07732413709163666,0.9604166150093079,0.9604166150093079,0.9171974658966064,0.91544109582901,0.17969015333801508,0.11103903502225876,0.91544109582901,0.91544109582901
8,0.9700787663459778,0.9697917103767395,0.08841104479873274,0.05911511927843094,0.9697917699813843,0.9697917699813843,0.9108280539512634,0.9080880880355835,0.2027251711115241,0.11055127531290054,0.908088207244873,0.908088207244873
9,0.9763779640197754,0.9765625596046448,0.07741940426310216,0.049948520958423615,0.9765625596046448,0.9765625596046448,0.9426751732826233,0.9404410719871521,0.15838646003976464,0.08257268369197845,0.9404411315917969,0.9404411315917969
10,0.977952778339386,0.9781250953674316,0.06214956821155126,0.04395192489027977,0.9781250953674316,0.9781250953674316,0.9044585824012756,0.902941107749939,0.22413381561636925,0.11265116930007935,0.9029411673545837,0.9029411673545837
11,0.9889763593673706,0.9890625476837158,0.03545780337642966,0.027429532259702682,0.9890625476837158,0.9890625476837158,0.9044585824012756,0.9040440320968628,0.23528069630265236,0.10610424727201462,0.9040440320968628,0.9040440320968628
12,0.9889763593673706,0.9885417222976685,0.03994245580800875,0.029223443940281868,0.9885417222976685,0.9885417222976685,0.8853503465652466,0.8841911554336548,0.299542548134923,0.12193411588668823,0.8841911554336548,0.8841911554336548
13,0.9968503713607788,0.9968750476837158,0.016694879756991084,0.014028053730726242,0.9968750476837158,0.9968750476837158,0.9108280539512634,0.9091910719871521,0.25043095741420984,0.09762655943632126,0.9091911315917969,0.9091911315917969
14,0.9968503713607788,0.9963541626930237,0.01606714087501755,0.013792010955512524,0.9963541626930237,0.9963541626930237,0.9108280539512634,0.9113970398902893,0.228809965075925,0.08774120360612869,0.9113970994949341,0.9113970994949341
15,1.0,1.0,0.007749487800838968,0.007221575826406479,1.0,1.0,0.9171974658966064,0.9165440797805786,0.2595550513942726,0.08182460069656372,0.9165441393852234,0.9165441393852234
16,1.0,1.0,0.004447474047233622,0.00428686011582613,1.0,1.0,0.9108280539512634,0.9102941155433655,0.28148098511155695,0.09159605205059052,0.9102941155433655,0.9102941155433655
17,1.0,1.0,0.0030129074676358324,0.0029542259871959686,1.0,1.0,0.9108280539512634,0.9113970398902893,0.28651870420435444,0.09029677510261536,0.9113970398902893,0.9113970398902893
18,1.0,1.0,0.002177620633857281,0.0021458978299051523,1.0,1.0,0.9171974658966064,0.9165440797805786,0.32488970120903105,0.0960271805524826,0.9165441393852234,0.9165441393852234
19,1.0,1.0,0.0018555774205003582,0.0018367962911725044,1.0,1.0,0.9044585824012756,0.9040440917015076,0.32181256386684254,0.09319401532411575,0.9040440917015076,0.9040440917015076
20,1.0,1.0,0.0013926835977252367,0.0013818462612107396,1.0,1.0,0.9108280539512634,0.9102940559387207,0.319736487173941,0.09048766642808914,0.9102941155433655,0.9102941155433655
21,1.0,1.0,0.001210305582884127,0.0012016425607725978,1.0,1.0,0.9108280539512634,0.9102940559387207,0.3300440263119526,0.09152489900588989,0.9102941155433655,0.9102941155433655
22,1.0,1.0,0.0009498679600234371,0.0009450880461372435,1.0,1.0,0.9108280539512634,0.9124999046325684,0.33490615617483854,0.09143858402967453,0.9124999642372131,0.9124999642372131
23,1.0,1.0,0.0008408013563034836,0.0008370536379516125,1.0,1.0,0.9108280539512634,0.9124999046325684,0.34229453513398767,0.09142262488603592,0.9124999642372131,0.9124999642372131
24,1.0,1.0,0.0007600085873992776,0.0007569286972284317,1.0,1.0,0.9108280539512634,0.9124999046325684,0.34720684960484505,0.0914444550871849,0.9124999642372131,0.9124999642372131
